Business1|Business1|Business1@business1.com|password|123 Fake Address Road|717-777-7777|BUSINESS
Business2|Business2|Business2@business2.com|password|123 Fake Address Street|717-777-7776|BUSINESS
Business3|Business3|Business3@business3.com|password|123 Fake Address Drive|717-777-7766|BUSINESS
Business4|Business4|Business4@business4.com|password|123 Fake Address Boulevard|717-777-7666|BUSINESS
Business5|Business5|Business5@business5.com|password|123 Fake Address Lane|717-777-6667|BUSINESS
Business6|Business6|Business6@business6.com|password|123 Fake Address Court|717-776-6677|BUSINESS
Business7|Business7|Business7@business7.com|password|123 Fake Address Avenue|717-766-6777|BUSINESS
Business8|Business8|Business8@business8.com|password|234 Fake Address Road|717-666-7777|BUSINESS
Business9|Business9|Business9@business9.com|password|234 Fake Address Street|717-667-7777|BUSINESS
Business10|Business10|Business10@business10.com|password|234 Fake Address Drive|717-677-7777|BUSINESS
